neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day
4,1.3125,103.89761,3,199,28,75,1.25,1,163,2019,6,23
1,1.2900200000000002,103.82315,2,65,1,5,0.09,1,0,2016,1,3
10,1.30459,103.82464,2,122,1,1,0.13,2,361,2019,1,15
14,1.30176,103.85217,3,244,2,77,2.2,3,74,2019,8,9
14,1.30148,103.85813,2,58,1,28,0.47,7,233,2018,8,26
5,1.31944,103.86222,3,387,7,47,0.78,203,262,2019,8,3
4,1.31464,103.88672,3,83,1,73,1.22,67,141,2019,7,31
4,1.3137,103.88765,3,90,10,40,0.68,67,4,2019,8,8
14,1.30348,103.85969,2,58,1,10,0.2,7,233,2017,12,14
4,1.31633,103.88539,3,90,4,49,0.83,67,64,2019,8,10
5,1.3128799999999998,103.85969,2,62,1,21,0.66,20,358,2019,8,25
5,1.3115700000000001,103.8598,2,56,1,189,5.63,20,343,2019,8,16
9,1.32772,103.85239,3,358,7,32,0.54,203,275,2019,2,5
2,1.31995,103.79426,3,160,5,8,0.2,1,69,2018,1,20
4,1.31444,103.88709,3,85,5,41,0.79,67,123,2019,8,1
17,1.31539,103.82585999999999,3,281,7,29,0.48,19,362,2019,7,17
4,1.31131,103.88343,2,60,1,47,0.8,37,346,2019,8,2
4,1.31372,103.88716,3,85,4,72,1.37,67,69,2019,8,12
11,1.28278,103.8445,1,31,1,44,0.77,13,363,2019,8,11
11,1.28332,103.8433,1,31,1,18,0.31,13,365,2019,8,12
9,1.31718,103.84286999999999,2,89,2,13,0.22,2,355,2016,8,11
1,1.27254,103.8337,3,306,2,188,3.16,1,324,2019,8,9
17,1.29312,103.82979,3,218,2,289,4.9,1,231,2019,8,15
5,1.31409,103.87213,3,249,1,98,1.64,7,351,2019,8,5
9,1.32419,103.85284,3,237,5,26,0.44,203,261,2018,1,25
